
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
msedgewebview2.exe           16612 Console                    3     16,436 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:10 N/A                                                                     
msedgewebview2.exe            3064 Console                    3         12 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe            5396 Console                    3      5,800 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:02 N/A                                                                     
msedgewebview2.exe            9076 Console                    3      5,664 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 OleMainThreadWndName                                                    
msedgewebview2.exe           16480 Console                    3      1,844 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe            3284 Console                    3      2,276 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe           22124 Console                    3     40,240 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:05 N/A                                                                     
DesktopExtension.exe         17992 Console                    3      2,416 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:03 .NET-BroadcastEventWindow.4.0.0.0.3ce0bb8.0                             
ChatGPT.exe                   2208 Console                    3     15,628 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:13 N/A                                                                     
HP.HPX.exe                   22320 Console                    3      2,808 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
ChatGPT.exe                   5232 Console                    3         16 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
ChatGPT.exe                  12472 Console                    3      5,708 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:02 N/A                                                                     
ChatGPT.exe                  10476 Console                    3      6,820 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:04 OleMainThreadWndName                                                    
ChatGPT.exe                   3544 Console                    3     21,248 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:14 N/A                                                                     
BridgeCommunication.exe      17624 Console                    3        260 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
M365Copilot.exe               1468 Console                    3      4,076 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:03 Microsoft 365 Copilot                                                   
RuntimeBroker.exe            11928 Console                    3      1,548 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe           16276 Console                    3      3,684 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:05 N/A                                                                     
msedgewebview2.exe           10472 Console                    3         12 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
msedgewebview2.exe            9392 Console                    3        716 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:01 OleMainThreadWndName                                                    
